Entry	Gene Names (primary)	Protein names	Gene Ontology (molecular function)
O00506	STK25	Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O00746	NME4	Nucleoside diphosphate kinase, mitochondrial (NDK) (NDP kinase, mitochondrial) (EC 2.7.4.6) (Nucleoside diphosphate kinase D) (NDPKD) (nm23-H4)	ATP binding [GO:0005524]; cardiolipin binding [GO:1901612]; GTPase binding [GO:0051020]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]; protein-containing complex binding [GO:0044877]
O00750	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.137) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; phosphatidylinositol binding [GO:0035091]
O00764	PDXK	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	ATP binding [GO:0005524]; lithium ion binding [GO:0031403]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; protein homodimerization activity [GO:0042803]; pyridoxal kinase activity [GO:0008478]; pyridoxal phosphate binding [GO:0030170]; sodium ion binding [GO:0031402]; zinc ion binding [GO:0008270]
O14578	CIT	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	ATP binding [GO:0005524]; PDZ domain binding [GO:0030165]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine kinase inhibitor activity [GO:0030291]; scaffold protein binding [GO:0097110]; SH3 domain binding [GO:0017124]; transcription coactivator binding [GO:0001223]; zinc ion binding [GO:0008270]
O14730	RIOK3	Serine/threonine-protein kinase RIO3 (EC 2.7.11.1) (RIO kinase 3) (sudD homolog)	ATP binding [GO:0005524]; caspase binding [GO:0089720]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O14733	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2)	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; JUN kinase kinase activity [GO:0008545]; magnesium ion binding [GO:0000287]; MAP kinase activity [GO:0004707]; MAP kinase kinase activity [GO:0004708]; molecular function activator activity [GO:0140677]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; protein serine kinase activity [GO:0106310]; protein tyrosine kinase activity [GO:0004713]
O14757	CHEK1	Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1)	ATP binding [GO:0005524]; histone H3T11 kinase activity [GO:0035402]; protein domain specific binding [GO:0019904]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O14874	BCKDK	Branched-chain alpha-ketoacid dehydrogenase kinase (BCKDH kinase) (BCKDHKIN) (BDK) (EC 2.7.11.1) ([3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial) (EC 2.7.11.4)	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity [GO:0047323]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine phosphatase activity [GO:0004722]; pyruvate dehydrogenase (acetyl-transferring) kinase activity [GO:0004740]
O14920	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK-2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB) (Serine/threonine protein kinase IKBKB) (EC 2.7.11.1)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; IkappaB kinase activity [GO:0008384]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; scaffold protein binding [GO:0097110]; transferrin receptor binding [GO:1990459]
O14936	CASK	Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; guanylate kinase activity [GO:0004385]; neurexin family protein binding [GO:0042043]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; signaling receptor binding [GO:0005102]
O14965	AURKA	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (Breast tumor-amplified kinase) (Ipl1- and aurora-related kinase 1) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase Ayk1) (Serine/threonine-protein kinase aurora-A)	ATP binding [GO:0005524]; histone H3S10 kinase activity [GO:0035175]; molecular function activator activity [GO:0140677]; protein heterodimerization activity [GO:0046982]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; ubiquitin protein ligase binding [GO:0031625]
O14976	GAK	Cyclin-G-associated kinase (EC 2.7.11.1) (DnaJ homolog subfamily C member 26)	ATP binding [GO:0005524]; clathrin binding [GO:0030276]; cyclin binding [GO:0030332]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein-folding chaperone binding [GO:0051087]
O14986	PIP5K1B	Phosphatidylinositol 4-phosphate 5-kinase type-1 beta (PIP5K1-beta) (PtdIns(4)P-5-kinase 1 beta) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I beta) (PIP5KIbeta) (Protein STM-7) (Type I phosphatidylinositol 4-phosphate 5-kinase beta)	1-phosphatidylinositol-3-phosphate 5-kinase activity [GO:0000285]; 1-phosphatidylinositol-4-phosphate 5-kinase activity [GO:0016308]; 1-phosphatidylinositol-5-kinase activity [GO:0052810]; ATP binding [GO:0005524]; phosphatidylinositol kinase activity [GO:0052742]
O15021	MAST4	Microtubule-associated serine/threonine-protein kinase 4 (EC 2.7.11.1)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O15075	DCLK1	Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O15111	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK-1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA) (Transcription factor 16) (TCF-16)	ATP binding [GO:0005524]; IkappaB kinase activity [GO:0008384]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; scaffold protein binding [GO:0097110]; transferrin receptor binding [GO:1990459]
O15146	MUSK	Muscle, skeletal receptor tyrosine-protein kinase (EC 2.7.10.1) (Muscle-specific tyrosine-protein kinase receptor) (MuSK) (Muscle-specific kinase receptor)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; Wnt-protein binding [GO:0017147]
O15264	MAPK13	Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4)	ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O15530	PDPK1	3-phosphoinositide-dependent protein kinase 1 (hPDK1) (EC 2.7.11.1)	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; ATP binding [GO:0005524]; phospholipase activator activity [GO:0016004]; phospholipase binding [GO:0043274]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O43252	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]	adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; nucleotidyltransferase activity [GO:0016779]; protein homodimerization activity [GO:0042803]; sulfate adenylyltransferase (ATP) activity [GO:0004781]
O43283	MAP3K13	Mitogen-activated protein kinase kinase kinase 13 (EC 2.7.11.25) (Leucine zipper-bearing kinase) (Mixed lineage kinase) (MLK)	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; IkappaB kinase complex binding [GO:0106137]; MAP kinase kinase kinase activity [GO:0004709]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activator activity [GO:0043539]; protein serine/threonine kinase activity [GO:0004674]
O43293	DAPK3	Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase)	ATP binding [GO:0005524]; cAMP response element binding protein binding [GO:0008140]; identical protein binding [GO:0042802]; leucine zipper domain binding [GO:0043522]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; small GTPase binding [GO:0031267]
O43314	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2) (hsVIP2)	5-diphosphoinositol pentakisphosphate 1-kinase activity [GO:0033857]; ATP binding [GO:0005524]; diphosphoinositol pentakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]
O43318	MAP3K7	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	ATP binding [GO:0005524]; DNA-binding transcription factor binding [GO:0140297]; histone kinase activity [GO:0035173]; identical protein binding [GO:0042802]; linear polyubiquitin binding [GO:1990450]; magnesium ion binding [GO:0000287]; MAP kinase activity [GO:0004707]; MAP kinase kinase kinase activity [GO:0004709]; MAP kinase kinase kinase kinase activity [GO:0008349]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine kinase binding [GO:0120283]; receptor tyrosine kinase binding [GO:0030971]; scaffold protein binding [GO:0097110]; transcription coactivator binding [GO:0001223]; type II transforming growth factor beta receptor binding [GO:0005114]; ubiquitin protein ligase binding [GO:0031625]
O43353	RIPK2	Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (CARD-containing interleukin-1 beta-converting enzyme-associated kinase) (CARD-containing IL-1 beta ICE-kinase) (RIP-like-interacting CLARP kinase) (Receptor-interacting protein 2) (RIP-2) (Tyrosine-protein kinase RIPK2) (EC 2.7.10.2)	ATP binding [GO:0005524]; CARD domain binding [GO:0050700]; caspase binding [GO:0089720]; identical protein binding [GO:0042802]; JUN kinase kinase kinase activity [GO:0004706]; LIM domain binding [GO:0030274]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein homodimerization activity [GO:0042803]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; signaling adaptor activity [GO:0035591]; signaling receptor binding [GO:0005102]
O43683	BUB1	Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A)	ATP binding [GO:0005524]; histone H2A kinase activity [GO:0140995]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O43781	DYRK3	Dual specificity tyrosine-phosphorylation-regulated kinase 3 (EC 2.7.12.1) (Regulatory erythroid kinase) (REDK)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]
O60229	KALRN	Kalirin (EC 2.7.11.1) (Huntingtin-associated protein-interacting protein) (Protein Duo) (Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain)	ATP binding [GO:0005524]; guanyl-nucleotide exchange factor activity [GO:0005085]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O60285	NUAK1	NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; p53 binding [GO:0002039]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O60307	MAST3	Microtubule-associated serine/threonine-protein kinase 3 (EC 2.7.11.1)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O60331	PIP5K1C	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma (PIP5K1gamma) (PtdIns(4)P-5-kinase 1 gamma) (EC 2.7.1.68) (Type I phosphatidylinositol 4-phosphate 5-kinase gamma)	1-phosphatidylinositol-4-phosphate 5-kinase activity [GO:0016308]; ATP binding [GO:0005524]; phosphatidylinositol kinase activity [GO:0052742]
O60566	BUB1B	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O60674	JAK2	Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2)	acetylcholine receptor binding [GO:0033130]; ATP binding [GO:0005524]; growth hormone receptor binding [GO:0005131]; heme binding [GO:0020037]; histone binding [GO:0042393]; histone H3Y41 kinase activity [GO:0035401]; identical protein binding [GO:0042802]; insulin receptor substrate binding [GO:0043560]; interleukin-12 receptor binding [GO:0005143]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; peptide hormone receptor binding [GO:0051428]; phosphatidylinositol 3-kinase binding [GO:0043548]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein tyrosine kinase activity [GO:0004713]; SH2 domain binding [GO:0042169]; signaling receptor activator activity [GO:0030546]; signaling receptor binding [GO:0005102]; type 1 angiotensin receptor binding [GO:0031702]
O60825	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (6PF-2-K/Fru-2,6-P2ase 2) (PFK/FBPase 2) (6PF-2-K/Fru-2,6-P2ase heart-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]	6-phosphofructo-2-kinase activity [GO:0003873]; ATP binding [GO:0005524]; fructose-2,6-bisphosphate 2-phosphatase activity [GO:0004331]; protein kinase binding [GO:0019901]
O75063	FAM20B	Glycosaminoglycan xylosylkinase (EC 2.7.1.-) (Xylose kinase)	ATP binding [GO:0005524]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]
O75116	ROCK2	Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)	ATP binding [GO:0005524]; endopeptidase activator activity [GO:0061133]; protease binding [GO:0002020]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; RNA binding [GO:0003723]; small GTPase binding [GO:0031267]; structural molecule activity [GO:0005198]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]; zinc ion binding [GO:0008270]
O75191	XYLB	Xylulose kinase (Xylulokinase) (EC 2.7.1.17)	ATP binding [GO:0005524]; D-xylulokinase activity [GO:0004856]
O75385	ULK1	Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1)	ATP binding [GO:0005524]; GTPase binding [GO:0051020]; identical protein binding [GO:0042802]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; small GTPase binding [GO:0031267]
O75414	NME6	Nucleoside diphosphate kinase 6 (NDK 6) (NDP kinase 6) (EC 2.7.4.6) (Inhibitor of p53-induced apoptosis-alpha) (IPIA-alpha) (nm23-H6)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]
O75460	ERN1	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; enzyme binding [GO:0019899]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; platelet-derived growth factor receptor binding [GO:0005161]; protein homodimerization activity [GO:0042803]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA endonuclease activity [GO:0004521]; unfolded protein binding [GO:0051082]
O75582	RPS6KA5	Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL)	ATP binding [GO:0005524]; histone H2AS1 kinase activity [GO:0044024]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]
O75676	RPS6KA4	Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (Ribosomal protein kinase B) (RSKB)	ATP binding [GO:0005524]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; ribosomal protein S6 kinase activity [GO:0004711]
O75716	STK16	Serine/threonine-protein kinase 16 (EC 2.7.11.1) (Myristoylated and palmitoylated serine/threonine-protein kinase) (MPSK) (Protein kinase PKL12) (TGF-beta-stimulated factor 1) (TSF-1) (Tyrosine-protein kinase STK16) (EC 2.7.10.2) (hPSK)	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
O75747	PIK3C2G	Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma (PI3K-C2-gamma) (PtdIns-3-kinase C2 subunit gamma) (EC 2.7.1.137) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-gamma)	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; phosphatidylinositol binding [GO:0035091]; phosphatidylinositol kinase activity [GO:0052742]
O75912	DGKI	Diacylglycerol kinase iota (DAG kinase iota) (DGK-iota) (EC 2.7.1.107)	ATP binding [GO:0005524]; ATP-dependent diacylglycerol kinase activity [GO:0004143]
O75914	PAK3	Serine/threonine-protein kinase PAK 3 (EC 2.7.11.1) (Beta-PAK) (Oligophrenin-3) (p21-activated kinase 3) (PAK-3)	ATP binding [GO:0005524]; MAP kinase kinase activity [GO:0004708]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; SH3 domain binding [GO:0017124]; small GTPase binding [GO:0031267]
O75962	TRIO	Triple functional domain protein (EC 2.7.11.1) (PTPRF-interacting protein)	ATP binding [GO:0005524]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O76039	CDKL5	Cyclin-dependent kinase-like 5 (EC 2.7.11.22) (Serine/threonine-protein kinase 9)	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; small GTPase binding [GO:0031267]
O94768	STK17B	Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
